country,iso3,iso2,elec_price_usd_kwh,carbon_intensity_gco2_kwh,renew_share_pct,avg_temp_c,t_d_losses_pct,renewable_generation_twh_2022_2024,total_generation_twh_2022_2024,renewable_generation_indicator_old
Austria,AUT,AT,0.4413666666666667,118.42666666666666,59.93270220397082,8.916666666666666,4.427813724866195,42.83583333333333,71.51,42.83583333333333
Belgium,BEL,BE,0.4443666666666666,133.65,22.295233569641628,11.89,3.93129145089747,18.48,84.17,18.48
Denmark,DNK,DK,0.4973666666666665,162.11333333333334,93.41735369492545,9.77,5.634087444196171,32.487500000000004,34.78666666666667,32.487500000000004
Finland,FIN,FI,0.2923666666666666,92.83,36.0243816055385,3.2433333333333336,3.7312378391632297,28.236666666666665,78.49333333333334,28.236666666666665
France,FRA,FR,0.2490333333333333,57.54333333333333,11.27465697620965,12.95,7.198168782808775,58.11666666666667,514.64,58.11666666666667
Germany,DEU,DE,0.4807,374.3766666666667,24.184014524087164,10.956666666666663,4.79057546727544,125.04833333333333,521.1766666666666,125.04833333333332
Ireland,IRL,IE,0.3983666666666667,296.40000000000003,49.84492723685589,10.463333333333331,7.52293560426622,15.863333333333335,31.94666666666667,15.863333333333337
Italy,ITA,IT,0.4990333333333334,327.52666666666664,21.62237249811173,14.476666666666668,6.818452942206745,58.15833333333333,269.7266666666667,58.15833333333333
Netherlands,NLD,NL,0.3660333333333334,281.42333333333335,28.332402018183174,11.706666666666669,4.074140694049085,34.255833333333335,120.81333333333333,34.255833333333335
Norway,NOR,NO,0.1447,30.290000000000003,48.060916109869474,2.766666666666666,4.636526001601474,72.8725,151.69,72.8725
Poland,POL,PL,0.2043666666666666,666.38,14.827482975842289,10.3,5.989561742016685,25.310000000000002,171.36666666666667,25.31
Spain,ESP,ES,0.3210333333333333,177.42999999999998,24.767681892894462,15.14,8.575116581090114,69.99833333333333,282.88666666666666,69.99833333333333
Sweden,SWE,SE,0.2863666666666666,38.126666666666665,33.962837188156094,3.823333333333333,5.68922543558895,57.82666666666666,170.31,57.82666666666666
United States,USA,US,0.1796999999999999,395.68666666666667,8.340806146044395,10.24,5.02126983628445,359.7058333333334,4310.606666666667,359.7058333333334
Canada,CAN,CA,0.1196999999999999,173.43999999999997,23.670510730740755,-3.35,4.00362571808963,153.28166666666667,647.42,153.28166666666667
Australia,AUS,AU,0.2420333333333333,562.7966666666667,16.96422146167851,22.336666666666662,4.7650310755942,46.82833333333334,275.89000000000004,46.82833333333334
Japan,JPN,JP,0.2380333333333333,498.4933333333333,9.475979945941052,12.85,4.515502174662945,96.71833333333335,1021.23,96.71833333333336
South Korea,KOR,KR,0.1083666666666666,426.9533333333334,4.171054521071073,13.226666666666668,3.224024862830235,25.9375,621.82,25.9375
Singapore,SGP,SG,0.2380333333333333,501.2766666666666,3.670539095955112,28.106666666666666,0.2571159315949945,2.13,57.949999999999996,2.13
New Zealand,NZL,NZ,0.1997,112.08,75.90797004352198,11.213333333333331,6.965377453661285,33.4225,44.03333333333333,33.4225
