country,peeringdb_facility_count,total_networks,total_ixs,avg_networks_per_facility
US,1387,12244,871,8.827685652487382
BR,347,3562,218,10.265129682997118
DE,332,4021,298,12.11144578313253
GB,248,3338,158,13.459677419354838
IN,240,2328,189,9.7
FR,226,2591,104,11.464601769911505
ID,203,3854,205,18.985221674876847
CA,166,1255,99,7.5602409638554215
AU,162,2115,133,13.055555555555555
NL,161,3462,280,21.503105590062113
JP,113,1155,135,10.221238938053098
RU,105,1080,125,10.285714285714286
IT,102,1234,69,12.098039215686274
NZ,93,709,42,7.623655913978495
PL,80,1389,98,17.3625
CH,78,753,64,9.653846153846153
ES,71,824,67,11.605633802816902
AR,70,582,36,8.314285714285715
SE,57,629,115,11.035087719298245
UA,57,659,95,11.56140350877193
HK,56,1072,47,19.142857142857142
AT,56,492,25,8.785714285714286
MX,54,299,13,5.537037037037037
CL,52,262,27,5.038461538461538
TR,50,444,52,8.88
NO,49,265,16,5.408163265306122
KR,47,210,21,4.468085106382978
SG,46,1102,66,23.956521739130434
MY,44,310,37,7.045454545454546
RO,44,301,39,6.840909090909091
CN,42,80,6,1.9047619047619047
BE,42,359,27,8.547619047619047
TH,40,440,60,11.0
DK,37,265,19,7.162162162162162
FI,36,286,34,7.944444444444445
BD,36,93,7,2.5833333333333335
CZ,32,344,22,10.75
BG,30,463,55,15.433333333333334
ZA,28,937,34,33.464285714285715
PH,25,359,40,14.36
IE,24,290,21,12.083333333333334
CO,23,250,14,10.869565217391305
SA,22,66,4,3.0
IL,21,94,4,4.476190476190476
TW,21,261,14,12.428571428571429
IS,20,57,4,2.85
PK,19,25,3,1.3157894736842106
NG,18,271,11,15.055555555555555
LU,16,165,14,10.3125
VN,15,49,1,3.2666666666666666
TZ,15,80,5,5.333333333333333
EC,15,34,2,2.2666666666666666
PT,15,132,17,8.8
PE,15,152,12,10.133333333333333
AE,15,186,8,12.4
KE,14,420,20,30.0
LT,12,50,7,4.166666666666667
HR,12,62,4,5.166666666666667
SI,11,35,6,3.1818181818181817
LV,11,65,14,5.909090909090909
PR,11,58,3,5.2727272727272725
PY,10,31,4,3.1
GR,10,206,23,20.6
RS,10,57,9,5.7
AM,9,9,0,1.0
PA,9,32,0,3.5555555555555554
KH,9,19,5,2.111111111111111
AO,8,27,5,3.375
CR,8,1,1,0.125
BH,8,8,1,1.0
EE,8,84,16,10.5
MM,8,9,2,1.125
VE,8,31,3,3.875
NP,8,4,2,0.5
CM,7,23,3,3.2857142857142856
MU,7,8,2,1.1428571428571428
GH,7,71,9,10.142857142857142
AZ,7,14,0,2.0
HU,7,145,5,20.714285714285715
UZ,7,3,3,0.42857142857142855
MZ,7,14,0,2.0
KZ,7,17,2,2.4285714285714284
GT,6,18,2,3.0
EG,6,31,3,5.166666666666667
QA,6,25,4,4.166666666666667
GU,6,25,7,4.166666666666667
AL,6,19,1,3.1666666666666665
SK,6,96,11,16.0
CI,5,6,0,1.2
CD,5,15,2,3.0
RW,5,7,1,1.4
OM,5,34,2,6.8
ZM,5,3,0,0.6
TT,5,10,2,2.0
MD,5,12,4,2.4
MA,5,6,2,1.2
MK,5,8,3,1.6
GE,5,18,2,3.6
DO,4,26,3,6.5
DJ,4,18,1,4.5
LI,4,6,2,1.5
BN,4,3,5,0.75
GA,4,10,2,2.5
JO,4,11,1,2.75
LA,3,1,0,0.3333333333333333
PS,3,18,1,6.0
IQ,3,2,0,0.6666666666666666
LB,3,1,1,0.3333333333333333
IR,3,2,0,0.6666666666666666
SD,3,2,0,0.6666666666666666
CG,3,3,1,1.0
BF,3,6,3,2.0
BT,3,2,1,0.6666666666666666
KW,3,2,2,0.6666666666666666
BO,2,2,1,1.0
BI,2,0,1,0.0
AQ,2,0,2,0.0
CW,2,7,1,3.5
TN,2,0,0,0.0
SR,2,0,0,0.0
SL,2,10,3,5.0
UG,2,12,2,6.0
PG,2,0,0,0.0
KG,2,3,1,1.5
MP,2,2,2,1.0
BY,2,6,0,3.0
ET,2,3,0,1.5
CY,2,4,2,2.0
SN,2,2,1,1.0
SO,2,1,0,0.5
NC,2,2,1,1.0
ML,2,1,1,0.5
AG,1,0,0,0.0
BJ,1,1,0,1.0
CV,1,2,0,2.0
BS,1,2,0,2.0
BL,1,4,1,4.0
BQ,1,1,1,1.0
BA,1,2,1,2.0
LK,1,0,0,0.0
MG,1,0,1,0.0
MF,1,4,1,4.0
GF,1,6,0,6.0
FM,1,0,0,0.0
GQ,1,1,0,1.0
GM,1,1,0,1.0
GP,1,4,0,4.0
IM,1,0,0,0.0
GN,1,4,0,4.0
HN,1,0,0,0.0
MQ,1,5,0,5.0
MO,1,2,0,2.0
MV,1,2,1,2.0
NI,1,0,0,0.0
SB,1,0,0,0.0
MW,1,0,1,0.0
SV,1,0,0,0.0
SS,1,0,0,0.0
TJ,1,2,0,2.0
TG,1,4,1,4.0
SX,1,2,1,2.0
TD,1,0,1,0.0
UY,1,2,0,2.0
VU,1,2,1,2.0
YE,1,0,0,0.0
ZW,1,0,0,0.0
